Context,Condition,Model,RMSLE,MAE,Rows
Promotion,Promotion,Seasonal Naive,0.6163889138588075,208.72990684691106,11784
Promotion,Promotion,XGBoost,0.3765065456714218,175.15254456067012,11784
Promotion,Promotion,LightGBM,0.4101417021804716,179.42346636556644,11784
Promotion,Promotion,XGBoost Tuned,0.3766256508592585,176.13907397749148,11784
Promotion,Promotion,LightGBM Tuned,0.39080384312725835,177.04486262519472,11784
Promotion,Promotion,DeepAR,0.47369932392715114,161.62268230127393,11784
Promotion,Non-Promotion,Seasonal Naive,0.626537300294473,12.623360877185908,14136
Promotion,Non-Promotion,XGBoost,0.6815088290189053,12.036840227316484,14136
Promotion,Non-Promotion,LightGBM,0.6638145276833205,12.55509184929606,14136
Promotion,Non-Promotion,XGBoost Tuned,0.5457473652975576,11.515714789735366,14136
Promotion,Non-Promotion,LightGBM Tuned,0.6215381295562449,12.202021608669511,14136
Promotion,Non-Promotion,DeepAR,0.4781725025125632,10.181020105965684,14136
Holiday,Holiday,Seasonal Naive,0.6810702233919679,102.48962041753472,1728
Holiday,Holiday,XGBoost,0.6629677092765506,91.04513522013868,1728
Holiday,Holiday,LightGBM,0.5846281773892891,89.89890477868937,1728
Holiday,Holiday,XGBoost Tuned,0.5125831738124166,90.64700303636265,1728
Holiday,Holiday,LightGBM Tuned,0.5799376202320289,90.28503751831613,1728
Holiday,Holiday,DeepAR,0.5223099281167375,97.14015702117504,1728
Holiday,Non-Holiday,Seasonal Naive,0.6175041807141196,101.7284634409061,24192
Holiday,Non-Holiday,XGBoost,0.5559209281083157,85.8475679933814,24192
Holiday,Non-Holiday,LightGBM,0.5612556462691722,88.3126487506576,24192
Holiday,Non-Holiday,XGBoost Tuned,0.47366908339909475,86.05204078917096,24192
Holiday,Non-Holiday,LightGBM Tuned,0.5254533799805916,86.92013449916486,24192
Holiday,Non-Holiday,DeepAR,0.47267400491123224,77.73736760596695,24192
Weekend,Weekend,Seasonal Naive,0.5877587083860908,127.97055310331308,6912
Weekend,Weekend,XGBoost,0.5953216127368786,113.20880073531977,6912
Weekend,Weekend,LightGBM,0.6831375023557422,116.97311422872392,6912
Weekend,Weekend,XGBoost Tuned,0.49740146891764786,112.68593688874161,6912
Weekend,Weekend,LightGBM Tuned,0.592904302222837,116.04073154563001,6912
Weekend,Weekend,DeepAR,0.4661261287335938,88.62308855907575,6912
Weekend,Non-Weekend,Seasonal Naive,0.6339182078619712,92.25508147063343,19008
Weekend,Non-Weekend,XGBoost,0.5517384088250025,76.37053492601811,19008
Weekend,Non-Weekend,LightGBM,0.5121428532836342,78.03486639754547,19008
Weekend,Non-Weekend,XGBoost Tuned,0.46847744031294075,76.78471150270816,19008
Weekend,Non-Weekend,LightGBM Tuned,0.5041286957302384,76.63672675673675,19008
Weekend,Non-Weekend,DeepAR,0.479735097198081,75.5428135698554,19008
Sales Spike,Sales Spike,Seasonal Naive,0.3043112383350355,673.3730581018518,2592
Sales Spike,Sales Spike,XGBoost,0.23773863212760787,570.2191585055175,2592
Sales Spike,Sales Spike,LightGBM,0.24301727035751586,576.5772663395647,2592
Sales Spike,Sales Spike,XGBoost Tuned,0.23328693816802135,574.1263171340754,2592
Sales Spike,Sales Spike,LightGBM Tuned,0.23597691864543185,574.8469804405205,2592
Sales Spike,Sales Spike,DeepAR,0.2534287722159874,542.617919622831,2592
Sales Spike,Non-Sales Spike,Seasonal Naive,0.6476915383408477,38.26877936573645,23328
Sales Spike,Non-Sales Spike,XGBoost,0.5888733621050293,32.413507360681635,23328
Sales Spike,Non-Sales Spike,LightGBM,0.5877335388829208,34.17852502063324,23328
Sales Spike,Non-Sales Spike,XGBoost Tuned,0.49607204709335845,32.16193321360319,23328
Sales Spike,Non-Sales Spike,LightGBM Tuned,0.552316170029228,32.955292581173595,23328
Sales Spike,Non-Sales Spike,DeepAR,0.4947396214540337,27.52121659781228,23328
