Family,Model,RMSLE,MAE,RMSE
BABY CARE,DeepAR,0.30715039973357144,0.29476559999108154,0.5635931973373026
BEAUTY,DeepAR,0.5718697222990239,0.9871524175008138,1.2778803224958526
BOOKS,DeepAR,0.16172523522409224,0.11739320359657064,0.2170583152978933
HARDWARE,DeepAR,0.4486424521688808,0.6875137172363422,0.922716092731976
HOME APPLIANCES,DeepAR,0.2887477991274473,0.31029563762169954,0.44549096332962496
LADIESWEAR,XGBoost Tuned,0.5557642433011418,1.279822368754281,1.8894249683513336
LAWN AND GARDEN,DeepAR,0.48502055189896354,1.2931994229611254,2.915483914028682
MAGAZINES,DeepAR,0.48361924365453796,0.849877151383294,1.2006136023662908
PET SUPPLIES,DeepAR,0.5226908367114064,0.9570934456319381,1.3575025294818517
PLAYERS AND ELECTRONICS,DeepAR,0.5438326383842884,0.9549378037452698,1.4003350838971778
SCHOOL AND OFFICE SUPPLIES,XGBoost Tuned,0.6768625018401796,4.161742792687974,14.942290869614519
SEAFOOD,DeepAR,0.7080629691522643,1.28301077220175,1.767572826353908
