Family,Model,RMSLE,MAE,RMSE
BOOKS,Seasonal Naive,0.16343285762375143,0.05396825396825397,0.24559613253766907
BOOKS,XGBoost,0.3805814610456813,0.2593893162787907,0.6452475911274718
BOOKS,LightGBM,0.8777858807927684,1.4053597096085961,1.9564013783247842
BOOKS,XGBoost Tuned,0.518206885271705,0.6746479842397902,0.6996629860750896
BOOKS,LightGBM Tuned,0.5247040924625331,0.4815772955895593,1.1090453744861948
BOOKS,DeepAR,0.16172523522409224,0.11739320359657064,0.2170583152978933
HOME APPLIANCES,Seasonal Naive,0.3931899929609846,0.2992592592592593,0.6906786785742246
HOME APPLIANCES,XGBoost,0.4173984098151963,0.32159385658524653,0.7190247609988282
HOME APPLIANCES,LightGBM,0.8842965212288316,1.4519055536595833,2.012376672099664
HOME APPLIANCES,XGBoost Tuned,0.5084946068108838,0.6695810062796981,0.7223607692526778
HOME APPLIANCES,LightGBM Tuned,0.5499088334410611,0.5626290132909642,1.1677033946885926
HOME APPLIANCES,DeepAR,0.2887477991274473,0.31029563762169954,0.44549096332962496
SCHOOL AND OFFICE SUPPLIES,Seasonal Naive,0.962876397331093,2.616216216216216,8.868000983391997
SCHOOL AND OFFICE SUPPLIES,XGBoost,0.6773969838489282,3.0018881397741337,8.281126946122603
SCHOOL AND OFFICE SUPPLIES,LightGBM,0.8225512122135404,2.659035612965667,6.71815191572923
SCHOOL AND OFFICE SUPPLIES,XGBoost Tuned,0.6768625018401796,4.161742792687974,14.942290869614519
SCHOOL AND OFFICE SUPPLIES,LightGBM Tuned,0.6793255817038786,3.440991910816118,11.526087459846897
SCHOOL AND OFFICE SUPPLIES,DeepAR,0.8698482805306539,2.7382873964712924,9.459040298190754
BABY CARE,Seasonal Naive,0.4190371994101865,0.3416666666666667,0.7670288999335901
BABY CARE,XGBoost,0.46814792250669524,0.40547786148885884,0.8282092204993882
BABY CARE,LightGBM,0.8754682057045012,1.445048882285024,2.0134530314436305
BABY CARE,XGBoost Tuned,0.5126696946268843,0.6969411034385363,0.7776813130536798
BABY CARE,LightGBM Tuned,0.5827874068448122,0.6287817418034014,1.2383738184892432
BABY CARE,DeepAR,0.30715039973357144,0.29476559999108154,0.5635931973373026
HARDWARE,Seasonal Naive,0.6243958975152611,0.8148148148148148,1.2352837430833152
HARDWARE,XGBoost,0.6490837530046053,0.7974785934857748,1.247736383091764
HARDWARE,LightGBM,0.7889594064764623,1.4553727537037864,1.9902142604459274
HARDWARE,XGBoost Tuned,0.5023709825068573,0.7744616473162615,0.987073998699409
HARDWARE,LightGBM Tuned,0.681624095290712,0.9817014707439333,1.4710714802139344
HARDWARE,DeepAR,0.4486424521688808,0.6875137172363422,0.922716092731976
LAWN AND GARDEN,Seasonal Naive,0.5364009991472222,1.3666666666666667,3.3571372284091057
LAWN AND GARDEN,XGBoost,0.545740815842711,1.3457190570180062,2.9174121415910927
LAWN AND GARDEN,LightGBM,0.8722657125899572,2.2356391507640385,3.24979980022743
LAWN AND GARDEN,XGBoost Tuned,0.6614510879643453,1.6827817523920978,2.714515316342642
LAWN AND GARDEN,LightGBM Tuned,0.657151234985342,1.632390229135611,3.110355719128124
LAWN AND GARDEN,DeepAR,0.48502055189896354,1.2931994229611254,2.915483914028682
MAGAZINES,Seasonal Naive,0.707232566712542,1.1688888888888889,1.7088007490635062
MAGAZINES,XGBoost,0.8072921457265376,1.1875622308585378,1.7216453460099965
MAGAZINES,LightGBM,0.6823887937739306,1.4086689889608275,1.9129009781830326
MAGAZINES,XGBoost Tuned,0.5600467109912126,1.024519235028161,1.398309933392006
MAGAZINES,LightGBM Tuned,0.7728927295582209,1.286374640635701,1.7972429283956768
MAGAZINES,DeepAR,0.48361924365453796,0.849877151383294,1.2006136023662908
PET SUPPLIES,Seasonal Naive,0.7270836576019628,1.358974358974359,1.8687717068458878
PET SUPPLIES,XGBoost,0.7743974459921822,1.1934143991233446,1.7966322300998718
PET SUPPLIES,LightGBM,0.7446312898615025,1.5930957763027127,2.161795559344303
PET SUPPLIES,XGBoost Tuned,0.5459249928201431,1.0082809680547469,1.3662284555195539
PET SUPPLIES,LightGBM Tuned,0.7143879385252055,1.280632827625563,1.8447777265492644
PET SUPPLIES,DeepAR,0.5226908367114064,0.9570934456319381,1.3575025294818517
LADIESWEAR,Seasonal Naive,0.7013141325999396,1.5777777777777777,2.8323527714997336
LADIESWEAR,XGBoost,0.5600255153731862,1.1409554520414935,2.33260673125839
LADIESWEAR,LightGBM,0.8707267993568915,2.1163597743631577,2.8225019786924284
LADIESWEAR,XGBoost Tuned,0.5557642433011418,1.279822368754281,1.8894249683513336
LADIESWEAR,LightGBM Tuned,0.61302055470826,1.335202099539458,2.399238624178127
LADIESWEAR,DeepAR,0.6463127727553509,1.5533182722930279,2.779242270005625
BEAUTY,Seasonal Naive,0.7828460105470164,1.3466666666666667,1.865475810617763
BEAUTY,XGBoost,0.6365503111887061,1.0166259758174419,1.5439841965360523
BEAUTY,LightGBM,0.8127111813762182,1.806535102102716,2.3236614583798545
BEAUTY,XGBoost Tuned,0.7364737863248645,1.5585471153259278,2.0647400660228477
BEAUTY,LightGBM Tuned,0.6076826334584549,1.0052662253348956,1.585933143551343
BEAUTY,DeepAR,0.5718697222990239,0.9871524175008138,1.2778803224958526
PLAYERS AND ELECTRONICS,Seasonal Naive,0.866057728092895,1.5333333333333334,1.9493588689617927
PLAYERS AND ELECTRONICS,XGBoost,0.7589566817156799,1.1363913357257842,1.6522362956979098
PLAYERS AND ELECTRONICS,LightGBM,0.6532678409981071,1.3444069661537332,1.8314265562555165
PLAYERS AND ELECTRONICS,XGBoost Tuned,0.545496808733765,0.9564093669255574,1.4210282602928568
PLAYERS AND ELECTRONICS,LightGBM Tuned,0.6935418991675685,1.0845275954880773,1.601069051468167
PLAYERS AND ELECTRONICS,DeepAR,0.5438326383842884,0.9549378037452698,1.4003350838971778
SEAFOOD,Seasonal Naive,0.8063381555738562,1.3555555555555556,2.0602049520483257
SEAFOOD,XGBoost,0.8686574566748316,1.5845542446606689,2.552370537268505
SEAFOOD,LightGBM,0.8565308285119505,1.7824356810051905,2.2667138695026727
SEAFOOD,XGBoost Tuned,0.7217669465869196,1.4582695788807338,1.8628444161579492
SEAFOOD,LightGBM Tuned,0.8545242187946337,1.4899676169572653,2.0467645975324444
SEAFOOD,DeepAR,0.7080629691522643,1.28301077220175,1.767572826353908
