store_nbr,family,forecast_demand,average_daily_demand,max_daily_demand,lead_time_demand,safety_stock,recommended_order_qty
44,FROZEN FOODS,179241.61,11949.44,16671.068,35848.32,7169.664,43018.0
46,FROZEN FOODS,167176.19,11145.079,14969.034,33435.24,6687.048,40122.0
43,EGGS,166448.14,11096.543,14864.904,33289.63,6657.926,39948.0
45,FROZEN FOODS,146403.33,9760.222,14406.287,29280.664,5856.133,35137.0
43,AUTOMOTIVE,145792.94,9719.529,12486.024,29158.588,5831.718,34990.0
47,FROZEN FOODS,136497.25,9099.816,14748.015,27299.45,5459.89,32759.0
44,BEAUTY,131548.22,8769.881,11688.81,26309.643,5261.9287,31572.0
43,PREPARED FOODS,130691.73,8712.782,15321.705,26138.348,5227.6694,31366.0
39,GROCERY I,129196.13,8613.075,10670.934,25839.227,5167.845,31007.0
46,BEAUTY,125787.7,8385.847,10989.97,25157.54,5031.508,30189.0
39,BEAUTY,121343.766,8089.5845,9836.882,24268.754,4853.751,29123.0
48,FROZEN FOODS,120543.95,8036.2637,9571.333,24108.791,4821.7583,28931.0
10,GROCERY I,116234.13,7748.9424,8328.367,23246.828,4649.3657,27896.0
9,GROCERY I,110366.08,7357.739,8043.118,22073.217,4414.6436,26488.0
5,FROZEN FOODS,110263.3,7350.886,9598.4795,22052.658,4410.5317,26463.0
39,PRODUCE,102360.06,6824.0044,11047.422,20472.014,4094.4028,24566.0
48,BEAUTY,99171.41,6611.4272,7637.933,19834.281,3966.8562,23801.0
48,PREPARED FOODS,98005.68,6533.712,10849.55,19601.137,3920.2273,23521.0
4,FROZEN FOODS,93422.766,6228.1846,7269.9097,18684.555,3736.911,22421.0
50,FROZEN FOODS,89789.24,5985.9497,6983.661,17957.85,3591.57,21549.0
45,BEAUTY,87680.2,5845.3467,7897.7476,17536.04,3507.2078,21043.0
44,PREPARED FOODS,87060.05,5804.003,10125.909,17412.008,3482.4016,20894.0
38,FROZEN FOODS,81115.99,5407.733,6054.988,16223.199,3244.64,19468.0
27,FROZEN FOODS,79481.375,5298.7583,7540.5215,15896.275,3179.2551,19076.0
8,GROCERY I,78216.36,5214.424,6347.835,15643.271,3128.6543,18772.0
6,GROCERY I,77552.53,5170.169,6570.016,15510.507,3102.1013,18613.0
46,PREPARED FOODS,76009.9,5067.3267,8819.196,15201.98,3040.3962,18242.0
30,EGGS,75059.27,5003.9517,5788.259,15011.855,3002.371,18014.0
50,BEAUTY,74787.8,4985.853,5730.298,14957.559,2991.5117,17949.0
50,PREPARED FOODS,74272.39,4951.4927,8606.596,14854.479,2970.8958,17825.0
16,FROZEN FOODS,74211.19,4947.4126,5681.335,14842.238,2968.4478,17811.0
42,FROZEN FOODS,73315.89,4887.726,5576.75,14663.178,2932.6355,17596.0
42,BEVERAGES,72594.73,4839.6484,6102.699,14518.945,2903.789,17423.0
10,BEVERAGES,70499.3,4699.953,5415.1797,14099.859,2819.972,16920.0
47,BEAUTY,69106.24,4607.083,6938.9565,13821.249,2764.2498,16585.0
4,BEVERAGES,68924.57,4594.971,6421.871,13784.914,2756.983,16542.0
